id;first_name;last_name;address;phone;email;activated
1;Gregorio;Grady;payment Kuwait Dollar;"+67";"Z.B2@tT@qzt38.";false
2;Lauren;Hettinger;Integration e-markets;"0";"LftA8@3XEbMlrBCXM";false
3;Prince;Hahn;parsing Licensed morph;"4";"NH7@o,A";true
4;Anya;Price;multi-byte Mouse Kitts;"+18";"agX@dQsuoE8R";true
5;Vidal;Grimes;approach;"+53";"ZK@aJC76kpo";true
6;Moriah;Bruen;Wisconsin neural;"3";"Ijxr@a3c8bhw";false
7;Celine;Graham;client-driven;"1";"W8@HOF}j";false
8;Sandra;Wisozk;optical Wyoming;"6";"+cIOhP@PkjMdg#RF76F";false
9;Everett;Stiedemann;Account;"8";"Vwx@AP4F5Fsm";true
10;Felipa;Maggio;gold Japan;"+29";"lZARBx@kLimaX4";true
