id;first_name;last_name;phone;email;vehicle_type;activated
1;Joelle;Breitenberg;"+91";"v@1jbsv7zAP";alarm drive Place;false
2;Tevin;DuBuque;"+98";"hg6@gCCCfVzjus";maroon;true
3;Jesus;Wintheiser;"+40";"R+gd@w1Uth";redundant Customer;true
4;Casper;Treutel;"2";"DK@NKIU=Q";Pula;false
5;Jerel;Senger;"+56";"s7xj@qYBKHNi";calculating orchestration;true
6;Darron;Hauck;"+80";"V@Z9DUFu";Station synthesizing;true
7;Weldon;Lakin;"6";".QYOnf@eziN";Awesome;true
8;Noelia;Borer;"5";"OT@4TbwC5V";compressing port Frozen;false
9;Cyrus;Greenfelder;"+31";"Nn@f8fJju,3js.ud";Metal input;true
10;Javier;Hahn;"+12";"L@gpvV28";Executive demand-driven;false
